philippines-to-usa-cat,Bring a Cat from the Philippines to the USA (2026 Guide),"<p>To bring a cat from the Philippines, you need an ISO microchip and a rabies vaccination certificate. <strong>Crucial Step:</strong> You must obtain a <strong>SPS Import Clearance</strong> and an International Health Certificate from the Bureau of Animal Industry (BAI). Ensure the cat is inspected at the BAI office at the airport (NAIA) before departure. Cats do not require a CDC permit for the USA.</p>"
philippines-to-usa-dog,Bring a Dog from the Philippines to the USA (2026 Guide),"<p><strong>High-Risk Alert:</strong> The Philippines is on the CDC high-risk list. <strong>Requirements:</strong> 1. Dog must be 6 months old and microchipped. 2. You must obtain a <strong>CDC Dog Import Permit</strong> before booking your flight. 3. An export permit from the Bureau of Animal Industry (BAI) is mandatory. Arrival is only permitted at US airports equipped with CDC animal care facilities.</p>"
thailand-to-usa-cat,Bring a Cat from Thailand to the USA (2026 Guide),"<p>Bringing a cat from Thailand is manageable but requires local paperwork. You need an ISO microchip and a rabies certificate. <strong>Step-by-Step:</strong> Visit the Animal Quarantine Station at Suvarnabhumi Airport (BKK) 1-3 days before departure to get your export license and health certificate. No CDC permit or US quarantine is needed for cats arriving from Thailand.</p>"
thailand-to-usa-dog,Bring a Dog from Thailand to the USA (2026 Guide),"<p><strong>High-Risk Alert:</strong> Thailand is high-risk for rabies. <strong>2026 Protocol:</strong> Your dog must be 6 months old and have an ISO microchip. You must apply for a <strong>CDC Dog Import Permit</strong> well in advance. Additionally, you need an export permit from the Bangkok Animal Quarantine Station. Dogs without a permit may be denied entry or face expensive quarantine upon arrival in the US.</p>"
vietnam-to-usa-cat,Bring a Cat from Vietnam to the USA (2026 Guide),"<p>Cats from Vietnam need an ISO microchip and a valid rabies jab. <strong>Local Requirements:</strong> You must obtain an animal health certificate from the <strong>Department of Animal Health (DAH)</strong> in Vietnam. Ensure the certificate is issued within 10 days of your flight. Cats are generally inspected upon arrival in the US but do not require a permit or mandatory quarantine.</p>"
vietnam-to-usa-dog,Bring a Dog from Vietnam to the USA (2026 Guide),"<p><strong>High-Risk Alert:</strong> Vietnam is a high-risk rabies country. <strong>2026 Requirements:</strong> 1. Dog must be at least 6 months old. 2. 15-digit ISO microchip is mandatory. 3. You must have a <strong>CDC Dog Import Permit</strong> or a reservation at a CDC-approved care facility. A DAH-endorsed health certificate from Vietnam is required for airline check-in.</p>"
malaysia-to-usa-cat,Bring a Cat from Malaysia to the USA (2026 Guide),"<p>Importing a cat from Malaysia requires an ISO microchip and a rabies vaccination. <strong>Process:</strong> You must apply for an export permit and health certificate from the <strong>Department of Veterinary Services (DVS)</strong> Malaysia via the MyPST system. An inspection at the DVS office at KLIA is usually required before departure. No CDC permit is needed for cats.</p>"
malaysia-to-usa-dog,Bring a Dog from Malaysia to the USA (2026 Guide),"<p><strong>High-Risk Alert:</strong> Malaysia is classified as high-risk for rabies. <strong>Mandatory:</strong> Your dog must be 6 months
taiwan-to-usa-cat,Bring a Cat from Taiwan to the USA (2026 Guide),"<p>Importing a cat from Taiwan is a smooth process as Taiwan is a low-risk region. <strong>Requirements:</strong> Your cat needs a 15-digit ISO microchip and a rabies vaccination certificate. You must obtain an export health certificate from the <strong>Animal and Plant Health Inspection Agency (APHIA)</strong>, formerly BAPHIQ, within 10 days of travel. No US quarantine is required.</p>"
taiwan-to-usa-dog,Bring a Dog from Taiwan to the USA (2026 Guide),"<p>Dogs from Taiwan follow the standard low-risk entry protocol. <strong>2026 Requirements:</strong> 1. Dog must be at least 6 months old and have an ISO microchip. 2. You must complete the online <strong>CDC Dog Import Form</strong> at least 2-10 days before arrival. 3. Obtain an export health certificate endorsed by Taiwan's <strong>APHIA</strong>. No CDC Import Permit or rabies titer test is needed for dogs from Taiwan.</p>"
hongkong-to-usa-cat,Bring a Cat from Hong Kong to the USA (2026 Guide),"<p>To bring a cat from Hong Kong, you need an ISO microchip and a valid rabies certificate. <strong>Process:</strong> You must apply for an Export Health Certificate from the <strong>Agriculture, Fisheries and Conservation Department (AFCD)</strong>. It is recommended to book the AFCD official vet inspection at the airport (HKG) or a local office about 7-10 days before your flight. Cats do not require a CDC permit for the USA.</p>"
hongkong-to-usa-dog,Bring a Dog from Hong Kong to the USA (2026 Guide),"<p>Hong Kong is a low-risk country for rabies. <strong>Key steps:</strong> Your dog must be 6 months old and microchipped. You must submit the online <strong>CDC Dog Import Form</strong> before boarding. Additionally, an <strong>AFCD Export Health Certificate</strong> is mandatory for exit. As long as the dog has not been in a high-risk country for the past 6 months, no CDC Import Permit or rabies titer test is required for US entry.</p>"
usa-pet-import,USA Pet Import Requirements (Cats & Dogs) 2026,"<p>Importing pets to the USA involves meeting rules from the CDC, USDA, and your airline. <strong>General Overview:</strong> Cats have minimal federal requirements beyond being healthy upon arrival. However, dogs are strictly regulated under the 2024-2026 CDC framework, which requires all dogs to be 6 months old, have an ISO microchip, and a completed CDC Dog Import Form. Requirements for high-risk countries are significantly more complex.</p>"
cat-import-usa,Cat Import Requirements for the USA (2026),"<p>Compared to dogs, cat import rules for the United States are simple. <strong>The Essentials:</strong> There is no federal requirement for a rabies vaccine for cats, but almost all airlines and many US states require it. We strongly recommend an ISO microchip and a health certificate from your origin country's vet. Cats do not need a CDC permit, regardless of which country they are coming from.</p>"
dog-import-usa,Dog Import Requirements for the USA (2026),"<p>The CDC heavily regulates dog imports to prevent rabies. <strong>The 'Big Three' Rules:</strong> 1. Every dog must be at least 6 months old. 2. Every dog must have a 15-digit ISO-compliant microchip. 3. Every owner must file a <strong>CDC Dog Import Form</strong> online. If coming from a high-risk country, you will also need a CDC Dog Import Permit OR a reservation at a CDC-approved animal care facility.</p>"
cdc-dog-import-rules,CDC Dog Import Rules Explained (2026 Update),"<p>Since August 2024, the CDC has enforced a standardized entry system for all dogs. <strong>Core Rules:</strong> Dogs must appear healthy, be at least 6 months of age, and be microchipped with an ISO-compliant chip implanted BEFORE their last rabies shot. All travelers must present the 'CDC Dog Import Form' receipt to the airline before boarding and to Customs upon arrival.</p>"
cdc-dog-import-permit,Do You Need a CDC Dog Import Permit?,"<p>The <strong>CDC Dog Import Permit</strong> is ONLY required for dogs coming from high-risk rabies countries that were vaccinated abroad. If your dog was vaccinated in the USA, or is coming from a low-risk country, you do NOT need a permit (you only need the 'CDC Dog Import Form'). Apply for a permit at least 6-8 weeks before travel, as processing times can be long.</p>"
dog-import-banned-countries,Dog Import Restrictions and High-Risk Countries,"<p>The CDC maintains a list of over 100 'High-Risk' countries for dog rabies (including much of Asia, Africa, and South America). <strong>Restrictions:</strong> Dogs from these countries face limited ports of entry and stricter paperwork requirements. In extreme cases of rabies outbreaks, the CDC may temporary suspend imports from specific countries. Always check the current high-risk list 3 months before your planned travel.</p>"
rabies-vaccine-requirements,Rabies Vaccine Requirements for Pet Travel (2026),"<p>Rabies vaccination is the most critical requirement for pets entering the USA. <strong>2026 Standards:</strong> The vaccine must be administered <strong>after</strong> the ISO microchip is implanted. For primary vaccinations, the pet must wait at least 30 days after the shot before entering the US. <ul><li>Must be administered by a licensed veterinarian.</li><li>Both 1-year and 3-year vaccines are accepted.</li><li>Vaccination records must be in English or accompanied by a certified translation.</li></ul></p>"
rabies-titer-test,Rabies Titer Test: When You Need It,"<p>A Rabies Titer Test (FAVN) measures the level of antibodies in a pet's blood. <strong>When it matters:</strong> While the US typically doesn't require a titer test for pets from low-risk countries, it is often required if you are transiting through rabies-free countries (like Hawaii or certain islands) or if you are following specific CDC high-risk protocols to shorten quarantine. <ul><li>Passing level is 0.5 IU/mL or higher.</li><li>Samples must be processed by a CDC-approved laboratory.</li><li>The test is valid for the duration of the rabies vaccine's potency.</li></ul></p>"
pet-microchip-requirements,Pet Microchip Requirements (ISO 11784/11785),"<p>Identification is mandatory for all pets entering the USA. <strong>The Standard:</strong> Your pet must have a <strong>15-digit ISO 11784/11785 compliant microchip</strong>. <ul><li>The chip must be implanted BEFORE the most recent rabies vaccine.</li><li>If your pet has a non-ISO chip, you must carry your own scanner or get a second ISO chip.</li><li>The microchip number must be clearly listed on all health and vaccination records.</li></ul></p>"
pet-health-certificate,Pet Health Certificate: What It Is and How to Get It,"<p>An international health certificate is the primary travel document for your pet. <strong>Endorsement Rule:</strong> Within 10-14 days of travel, a licensed vet must examine your pet and sign the certificate, which then usually requires <strong>government endorsement</strong> (like the USDA in the US or the AQS in Japan). <ul><li>Must certify the pet is free of infectious diseases.</li><li>Should include microchip info, vaccine history, and owner details.</li><li>Airlines will check this document before issuing a boarding pass.</li></ul></p>"
usda-accredited-vet,USDA-Accredited Vet: When It Matters,"<p>For pets leaving the United States for other countries, a USDA-accredited vet is essential. <strong>Why it's crucial:</strong> Only these specially trained veterinarians can sign the official international health certificates that the USDA will subsequently endorse. <ul><li>Accreditation must be current and verified.</li><li>Category II accreditation is required for almost all companion animals.</li><li>You can find accredited vets via the APHIS National Veterinary Accreditation Program (NVAP) website.</li></ul></p>"
fit-to-fly-letter,Fit-to-Fly Letter for Pets: Airline Requirements,"<p>A 'Fit-to-Fly' letter is an additional health statement often required by airlines but not necessarily by US customs. <strong>The Purpose:</strong> It confirms that the pet is healthy enough to withstand the stress of air travel and the temperatures in the aircraft hold. <ul><li>Typically must be issued within 10 days of the flight.</li><li>Mandatory for brachycephalic (flat-faced) breeds on many airlines.</li><li>States that the pet shows no signs of respiratory distress or contagious illness.</li></ul></p>"
pet-travel-crate,Airline Pet Crate Requirements (IATA Standard),"<p>Choosing the right crate is a matter of safety and compliance. <strong>IATA CR1 Standard:</strong> The crate must be rigid (not collapsible), escape-proof, and large enough for the pet to stand, turn around, and lie down naturally. <ul><li>Metal nuts and bolts are required (plastic clips are often banned).</li><li>Must have fixed water and food bowls accessible from the outside.</li><li>Absorbent bedding and 'Live Animal' stickers are mandatory.</li></ul></p>"
in-cabin-pet-rules,In-Cabin Pet Rules: Weight Limits and Booking Tips,"<p>Traveling with your pet in the cabin is the least stressful option. <strong>Weight Limits:</strong> Most airlines limit in-cabin travel to small dogs and cats weighing under <strong>8kg (18lbs)</strong> including the carrier. <ul><li>Soft-sided carriers are preferred as they fit under the seat.</li><li>You must reserve a 'Pet in Cabin' slot early, as space is very limited.</li><li>Pets must remain inside the carrier for the entire duration of the flight.</li></ul></p>"
checked-baggage-pet,Checked Baggage Pet Travel: Pros, Cons, and Rules,"<p>Checked baggage allows your pet to travel on the same flight as you but in the climate-controlled cargo hold. <strong>The Risks:</strong> This option is subject to strict 'Weather Bans' (if it is too hot or cold at any stop, the pet cannot fly). <ul><li>Requires an IATA-compliant hard-shell crate.</li><li>Usually cheaper than manifest cargo but more expensive than in-cabin.</li><li>Check-in occurs at the passenger desk, and you collect the pet at the oversized luggage area.</li></ul></p>"
cargo-pet-travel,Pet Travel as Cargo: What to Expect,"<p>Manifest Cargo is the most formal way for pets to travel, often required for large dogs or for entry into countries like the UK. <strong>The Process:</strong> Pets are handled by the airline's cargo department rather than the passenger terminal. <ul><li>Requires drop-off and pick-up at specialized cargo terminals.</li><li>IPATA-approved pet shippers are often recommended for this method.</li><li>Offers the highest level of tracking and professional animal handling during layovers.</li></ul></p>"
pet-travel-timeline,Pet Travel Timeline: 30/60/90-Day Checklist (2026 Guide),"<p>A successful pet relocation to the USA starts months in advance. <strong>The 2026 Countdown:</strong> <ul><li><strong>90 Days Out:</strong> Verify the 15-digit ISO microchip and get the rabies shot.</li><li><strong>60 Days Out:</strong> Buy an IATA crate and start training; book your pet's flight slot.</li><li><strong>30 Days Out:</strong> Apply for CDC permits (if from a high-risk country).</li><li><strong>10 Days Out:</strong> Final vet check and government endorsement of the health certificate.</li></ul></p>"
pet-quarantine-usa,Does the USA Quarantine Pets? What Actually Happens,"<p>For most healthy pets arriving with correct paperwork, <strong>there is no mandatory quarantine</strong> in the USA. <ul><li>Inspection happens at the first port of entry by CBP Agriculture.</li><li>Quarantine only occurs if the pet shows signs of illness or if high-risk country documents are missing.</li><li><strong>Exception:</strong> Hawaii has its own strict quarantine laws separate from the mainland.</li></ul></p>"
pet-customs-arrival,What Happens at US Customs When You Arrive with a Pet,"<p>Clearing customs with a pet is a structured 3-step process. <strong>1. Collection:</strong> Pick up your pet at the oversized baggage area or cargo terminal. <strong>2. Inspection:</strong> Head to the CBP Agriculture station. <strong>3. Verification:</strong> Present your health certificate and the online 'CDC Dog Import Form' receipt. Most healthy pets clear customs in under 20-40 minutes.</p>"
pet-vaccination-checklist,Pet Vaccination Checklist for International Travel,"<p>Your vaccination record must be perfect to avoid delays. <strong>2026 Essential Checklist:</strong> <ul><li><strong>Rabies:</strong> Must be given after the microchip and at least 30 days before travel for primary shots.</li><li><strong>DHPP/FVRCP:</strong> Highly recommended by airlines and US vets for long-term health.</li><li><strong>Leptospirosis:</strong> Often recommended for dogs moving to humid US states.</li></ul> Always ensure the vet signs and stamps every record in English.</p>"
pet-deworming,Do Pets Need Deworming for US Entry?,"<p>Unlike the UK or Australia, <strong>the US federal government (CDC/USDA) does not strictly require</strong> internal or external deworming for pet entry. However, your pet must appear free of screwworms and ticks during the visual inspection at customs. It is standard best practice to deworm your pet 5 days before flight to ensure they pass the visual 'healthy' check at the border.</p>"
pet-tapeworm-treatment,Tapeworm Treatment Rules for International Pet Travel,"<p>While the US does not have a mandatory tapeworm (Echinococcus multilocularis) treatment rule for dogs and cats, many airlines and transiting countries do. <strong>Recommendation:</strong> If your flight has a layover in Europe or the UK, check if they require a tapeworm treatment 24-120 hours before landing. For US entry, focus instead on rabies and general health certificates.</p>"
pet-passport-usa,Do You Need a Pet Passport to Enter the USA?,"<p>Strictly speaking, the **'EU Pet Passport'** is an acceptable form of identification and vaccination record for entry from Europe. However, for pets from Asia or South America, there is no official 'passport'. Instead, you rely on the **International Health Certificate** and your pet's vaccination booklet. The US does not issue its own pet passport for incoming animals.</p>"
moving-to-usa-with-pets,Moving to the USA with Pets: Full Relocation Guide,"<p>Relocating with a pet is a major logistical task. <strong>Key Pillars:</strong> 1. Compliance (CDC/USDA rules). 2. Logistics (choosing a pet-friendly airline). 3. Comfort (crate training). 4. Post-arrival (registering with a US vet). We recommend budgeting at least $2,000 for a medium dog relocation, including cargo fees and professional endorsements.</p>"
traveling-with-pets-internationally,International Pet Travel Guide: The Basics,"<p>International travel is stressful for pets, so preparation is everything. <strong>The Basics:</strong> Ensure your pet's crate is IATA-compliant, choose direct flights whenever possible to avoid temperature changes during layovers, and never sedate your pet for a flight as it can lead to respiratory failure at high altitudes. Focus on hydration and familiar scents in the crate.</p>"
airline-pet-fees,Airline Pet Fees: Typical Price Ranges and Hidden Costs,"<p>Budgeting for pet travel requires looking at more than just the ticket. <strong>Typical 2026 Costs:</strong> <ul><li><strong>In-Cabin (Small pets):</strong> $125 - $200.</li><li><strong>Checked Baggage:</strong> $300 - $800.</li><li><strong>Manifest Cargo:</strong> $1,500 - $4,000+.</li></ul> Always watch for **hidden costs** such as government endorsement fees, airport handling charges, and customs brokerage for cargo shipments.</p>"
how-to-book-pet-flight,How to Book a Flight for Your Pet (Step-by-Step),"<p>Booking a pet flight requires more than just buying a ticket. <strong>The 2026 Workflow:</strong> 1. Research pet-friendly airlines. 2. Call the airline to confirm pet space <strong>before</strong> booking your own seat. 3. Provide exact crate dimensions and total weight. 4. Request a 'Pet In Cabin' or 'AVIH' (animal in hold) SSR code on your booking. 5. Confirm the booking again 48 hours before departure.</p>"
best-airlines-for-pets,Best Airlines for Traveling with Pets (2026 Comparison),"<p>Not all airlines are equal when it comes to animal safety. <strong>Top Picks for 2026:</strong> <ul><li><strong>Delta & United:</strong> Best for US domestic travel with clear in-cabin rules.</li><li><strong>Qatar & Emirates:</strong> Gold standard for cargo/hold travel on long-haul routes.</li><li><strong>Lufthansa:</strong> Excellent animal lounge facilities in Frankfurt for layovers.</li><li><strong>Turkish Airlines:</strong> Known for being relatively pet-friendly for cabin travel.</li></ul> Always check the specific 'Weather Ban' policy for each carrier.</p>"
pet-carrier-in-cabin,Best In-Cabin Pet Carrier Size Guide,"<p>For in-cabin travel, the carrier is your pet's 'seat'. <strong>The Standard:</strong> Most airlines require soft-sided carriers (like SturdiBag or Sherpa) that fit under the seat in front of you. <strong>Typical Dimensions:</strong> 18 x 11 x 11 inches (45 x 28 x 28 cm). The pet must be able to stand and turn around comfortably. <strong>Pro Tip:</strong> Mesh panels on at least three sides are essential for proper ventilation during the flight.</p>"
pet-escape-proof-harness,Escape-Proof Harness Tips for Airport Travel,"<p>The airport is a high-stress environment where pets can easily bolt. An <strong>escape-proof harness</strong> (three-strap design) is mandatory for safety. <strong>Why it matters:</strong> During TSA security checks, you must remove your pet from the carrier. A secure harness ensures you maintain control while the carrier is being X-rayed. Never use a simple collar, as pets can slip out when frightened by airport noise.</p>"
airport-security-with-pets,Airport Security with Pets: TSA Process Explained,"<p>Going through TSA with a pet can be intimidating. <strong>The Standard Process:</strong> 1. Remove the pet from the carrier at the checkpoint. 2. Walk through the metal detector with your pet in your arms (the pet is not X-rayed). 3. Your hands may be swabbed for explosive residue. 4. The empty carrier goes through the X-ray machine. 5. Immediately place the pet back in the carrier in a quiet area after the check.</p>"
pet-sedation-flight,Should You Sedate a Pet for Flying? Risks and Alternatives,"<p><strong>Warning:</strong> The AVMA and most major airlines <strong>strongly advise against sedating pets</strong> for air travel. <strong>The Risks:</strong> Sedation can interfere with a pet's ability to regulate their body temperature and maintain equilibrium, leading to fatal respiratory issues at high altitudes. <strong>Alternatives:</strong> Use natural calming pheromones (like Feliway or Adaptil), high-value treats, and extensive crate training to reduce anxiety naturally.</p>"
pet-motion-sickness,Pet Motion Sickness During Flights: Prevention Tips,"<p>Motion sickness is common during takeoff and landing. <strong>Prevention Strategy:</strong> 1. Consult your vet about 'Cerenia', a highly effective non-sedative anti-nausea medication. 2. Limit food 6-8 hours before the flight but keep the pet well-hydrated. 3. Ensure the crate is stable and doesn't slide during transport. A ginger-based treat can also help soothe a sensitive stomach for shorter domestic hops.</p>"
pet-hydration-flight,Keeping Your Pet Hydrated on Long Flights,"<p>Dehydration is a major risk on long-haul international flights. <strong>Hydration Hacks:</strong> <ul><li>Freeze water in the crate's bowl the night before so it melts slowly during the journey.</li><li>Use a 'Lixit' water bottle (hamster-style) but train your pet to use it weeks in advance.</li><li>Offer ice cubes during layovers.</li><li>Wet food can provide extra moisture, but don't overfeed right before flying.</li></ul></p>"
pet-feeding-before-flight,Feeding Schedule Before Flying with a Pet,"<p>A full stomach can lead to vomiting or accidents inside the crate. <strong>The Golden Rule:</strong> Feed a light meal about 6-8 hours before departure. This allows for digestion and a final bathroom break before the pet enters the crate. <strong>Exceptions:</strong> Very small puppies or kittens may need small, frequent snacks. Always carry a small bag of their regular food in case of flight delays or cancellations.</p>"
pet-anxiety-flight,How to Reduce Pet Anxiety When Flying,"<p>Anxiety is the biggest challenge for traveling pets. <strong>Training is Key:</strong> 1. Crate training should begin at least 30 days before the flight. 2. Place an unwashed T-shirt with your scent inside the crate for comfort. 3. Use calming music or white noise during crate practice. 4. Practice 'car rides' in the crate to simulate movement. A calm owner usually leads to a calmer pet, so stay relaxed during the airport process.</p>"
pet-travel-documents-checklist,Pet Travel Documents Checklist (Printable),"<p>Don't risk being denied entry due to a missing paper. <strong>2026 Essential Document Folder:</strong> <ul><li><strong>Original Health Certificate:</strong> Must be endorsed by your country's government vet.</li><li><strong>Rabies Certificate:</strong> Signed and stamped, showing microchip number and vaccine batch.</li><li><strong>CDC Dog Import Form Receipt:</strong> Printed or digital copy of the online submission.</li><li><strong>CDC Import Permit:</strong> Mandatory if arriving from a high-risk country.</li><li><strong>Airline Booking:</strong> Proof of your pet's reserved space.</li></ul> Keep all originals in a waterproof pouch attached to your carry-on.</p>"
lost-pet-airport,What to Do If a Pet Is Lost at the Airport,"<p>A lost pet at the airport is a nightmare, but immediate action is key. <strong>Emergency Steps:</strong> 1. Notify the airline staff and airport security (TSA/CBP) immediately. 2. Provide a clear photo of the pet and their microchip number. 3. Contact the local animal shelters and 'The ARK' (if at JFK). 4. Post on local social media groups for the specific airport. <strong>Prevention:</strong> Always ensure your pet's harness is escape-proof and their crate door is secured with metal nuts and bolts.</p>"
pet-import-us-states,Do US States Have Different Pet Entry Rules?,"<p>While the CDC handles federal entry, individual states have their own mandates. <strong>Key Exceptions:</strong> <ul><li><strong>Hawaii:</strong> Extremely strict 'Rabies-Free' rules; requires 4 months of prep and specific blood tests.</li><li><strong>Guam:</strong> Similar to Hawaii, requires pre-arrival quarantine.</li><li><strong>Mainland USA:</strong> Most states (like CA, NY, FL) follow federal rules, but some may require a local health certificate if you plan to transport the pet across state lines via commercial vehicle after arrival.</li></ul></p>"
