from_country,to_country,pet_type,title,summary,risk_level,prep_time,quarantine,min_age,microchip,rabies_vaccine,process_steps,required_documents,tips
mexico,usa,dog,Bring a Dog from Mexico to the USA (2026),Professional 2026 guide for moving your dog from mexico to usa.,High-Risk,6 Months,None,6 Months,ISO 11784/85,Required,"Step: As a neighbor and low-risk country, importing a dog from Mexico is common|Step: The Process: Your dog needs a 15-digit ISO microchip and an online CDC Dog Import Form|Step: While Mexico doesn't require a rabies certificate for dogs to *exit*, the US airlines often require it to *board*|Step: Dogs must be 6 months old",Health Certificate|Rabies Certificate,Verify all documents with local customs 10 days before departure.
brazil,usa,dog,Bring a Dog from Brazil to the USA (2026),Professional 2026 guide for moving your dog from brazil to usa.,High-Risk,6 Months,None,6 Months,ISO 11784/85,Required,"Step: Important: Brazil is classified as a high-risk rabies country|Step: You must obtain a CDC Dog Import Permit at least 6 weeks before travel|Step: Your dog must be 6 months old, have an ISO microchip, and a government-endorsed health certificate from Brazil's Ministry of Agriculture (MAPA)",Health Certificate|Rabies Certificate,Verify all documents with local customs 10 days before departure.
india,usa,cat,Bring a Cat from India to the USA (2026),Professional 2026 guide for moving your cat from india to usa.,High-Risk,6 Months,Required,6 Months,ISO 11784/85,Required,Step: Cats from India need an ISO microchip and a rabies vaccination certificate|Step: You must also obtain a No Objection Certificate (NOC) and an export health certificate from the Animal Quarantine and Certification Service (AQCS) in India|Step: Cats do not require a CDC permit for the USA,Health Certificate|Rabies Certificate,Verify all documents with local customs 10 days before departure.
india,usa,dog,Bring a Dog from India to the USA (2026),Professional 2026 guide for moving your dog from india to usa.,High-Risk,6 Months,Required,6 Months,ISO 11784/85,Required,"Step: High-Risk Alert: India is on the CDC's high-risk list|Step: You MUST apply for a CDC Dog Import Permit well in advance|Step: Dogs must be at least 6 months old and microchipped|Step: Arrival is restricted to airports with CDC quarantine stations (like JFK, LAX, or ATL)",Health Certificate|Rabies Certificate,Verify all documents with local customs 10 days before departure.
philippines,usa,cat,Bring a Cat from the Philippines to the USA (2026),Professional 2026 guide for moving your cat from philippines to usa.,High-Risk,6 Months,None,6 Months,ISO 11784/85,Required,"Step: To bring a cat from the Philippines, you need an ISO microchip and a rabies vaccination certificate|Step: You must obtain an International Health Certificate from the Bureau of Animal Industry (BAI)|Step: Ensure the cat is inspected at the BAI office before departure|Step: Cats do not require a CDC permit",Health Certificate|Rabies Certificate,Verify all documents with local customs 10 days before departure.
philippines,usa,dog,Bring a Dog from the Philippines to the USA (2026),Professional 2026 guide for moving your dog from philippines to usa.,High-Risk,6 Months,None,6 Months,ISO 11784/85,Required,Step: High-Risk Alert: The Philippines is on the CDC high-risk list|Step: Requirements: 1|Step: Dog must be 6 months old and microchipped|Step: You must obtain a CDC Dog Import Permit before booking your flight|Step: An export permit from the Bureau of Animal Industry (BAI) is mandatory,Health Certificate|Rabies Certificate,Verify all documents with local customs 10 days before departure.
thailand,usa,cat,Bring a Cat from Thailand to the USA (2026),Professional 2026 guide for moving your cat from thailand to usa.,High-Risk,6 Months,Required,6 Months,ISO 11784/85,Required,Step: Bringing a cat from Thailand requires an ISO microchip and a rabies certificate|Step: Visit the Animal Quarantine Station at Suvarnabhumi Airport (BKK) 1-3 days before departure to get your export license|Step: No CDC permit or US quarantine is needed for cats arriving from Thailand,Health Certificate|Rabies Certificate,Verify all documents with local customs 10 days before departure.
thailand,usa,dog,Bring a Dog from Thailand to the USA (2026),Professional 2026 guide for moving your dog from thailand to usa.,High-Risk,6 Months,Required,6 Months,ISO 11784/85,Required,"Step: High-Risk Alert: Thailand is high-risk for rabies|Step: Your dog must be 6 months old and have an ISO microchip|Step: You must apply for a CDC Dog Import Permit well in advance|Step: Additionally, you need an export permit from the Bangkok Animal Quarantine Station",Health Certificate|Rabies Certificate,Verify all documents with local customs 10 days before departure.
vietnam,usa,cat,Bring a Cat from Vietnam to the USA (2026),Professional 2026 guide for moving your cat from vietnam to usa.,Standard,30 Days,Required,6 Months,ISO 11784/85,Required,Step: Cats from Vietnam need an ISO microchip and a valid rabies jab|Step: You must obtain an animal health certificate from the Department of Animal Health (DAH) in Vietnam issued within 10 days of your flight|Step: Cats do not require a permit or mandatory US quarantine,Health Certificate|Rabies Certificate,Verify all documents with local customs 10 days before departure.
vietnam,usa,dog,Bring a Dog from Vietnam to the USA (2026),Professional 2026 guide for moving your dog from vietnam to usa.,High-Risk,6 Months,None,6 Months,ISO 11784/85,Required,Step: High-Risk Alert: Vietnam is a high-risk rabies country|Step: Requirements: 1|Step: Dog must be at least 6 months old|Step: 15-digit ISO microchip is mandatory|Step: You must have a CDC Dog Import Permit or a reservation at a CDC-approved care facility,Health Certificate|Rabies Certificate,Verify all documents with local customs 10 days before departure.
malaysia,usa,cat,Bring a Cat from Malaysia to the USA (2026),Professional 2026 guide for moving your cat from malaysia to usa.,High-Risk,6 Months,None,6 Months,ISO 11784/85,Required,Step: Importing a cat from Malaysia requires an ISO microchip and a rabies vaccination|Step: You must apply for an export permit and health certificate from the Department of Veterinary Services (DVS) Malaysia via the MyPST system|Step: No CDC permit is needed for cats,Health Certificate|Rabies Certificate,Verify all documents with local customs 10 days before departure.
malaysia,usa,dog,Bring a Dog from Malaysia to the USA (2026),Professional 2026 guide for moving your dog from malaysia to usa.,High-Risk,6 Months,Required,6 Months,ISO 11784/85,Required,Step: High-Risk Alert: Malaysia is classified as high-risk for rabies|Step: Your dog must be 6 months old and microchipped|Step: You must obtain a CDC Dog Import Permit at least 6 weeks prior to travel|Step: Arrival in the US is limited to airports with active CDC quarantine stations,Health Certificate|Rabies Certificate,Verify all documents with local customs 10 days before departure.
taiwan,usa,cat,Bring a Cat from Taiwan to the USA (2026),Professional 2026 guide for moving your cat from taiwan to usa.,Standard,30 Days,Required,6 Months,ISO 11784/85,Required,Step: Taiwan is a low-risk region|Step: Your cat needs a 15-digit ISO microchip and a rabies vaccination certificate|Step: You must obtain an export health certificate from the Animal and Plant Health Inspection Agency (APHIA) within 10 days of travel|Step: No US quarantine is required,Health Certificate|Rabies Certificate,Verify all documents with local customs 10 days before departure.
taiwan,usa,dog,Bring a Dog from Taiwan to the USA (2026),Professional 2026 guide for moving your dog from taiwan to usa.,High-Risk,6 Months,None,6 Months,ISO 11784/85,Required,Step: Dogs from Taiwan follow low-risk rules|Step: Dog must be 6 months old and microchipped|Step: Complete the online CDC Dog Import Form at least 2 days before arrival|Step: Obtain an export health certificate endorsed by Taiwan's APHIA|Step: No CDC Permit needed,Health Certificate|Rabies Certificate,Verify all documents with local customs 10 days before departure.
hongkong,usa,cat,Bring a Cat from Hong Kong to the USA (2026),Professional 2026 guide for moving your cat from hongkong to usa.,High-Risk,6 Months,None,6 Months,ISO 11784/85,Required,"Step: To bring a cat from Hong Kong, you need an ISO microchip and a rabies certificate|Step: You must apply for an Export Health Certificate from the AFCD|Step: Book the official vet inspection at the airport (HKG) about 7-10 days before your flight|Step: No CDC permit needed",Health Certificate|Rabies Certificate,Verify all documents with local customs 10 days before departure.
hongkong,usa,dog,Bring a Dog from Hong Kong to the USA (2026),Professional 2026 guide for moving your dog from hongkong to usa.,High-Risk,6 Months,None,6 Months,ISO 11784/85,Required,"Step: Hong Kong is a low-risk country|Step: Key steps: Your dog must be 6 months old and microchipped|Step: You must submit the online CDC Dog Import Form before boarding|Step: Additionally, an AFCD Export Health Certificate is mandatory for exit from HKG",Health Certificate|Rabies Certificate,Verify all documents with local customs 10 days before departure.
fit,fly,letter,Fit-to-Fly Letter for Pets: Airline Requirements,Professional 2026 guide for moving your letter from fit to fly.,Standard,30 Days,None,6 Months,ISO 11784/85,Required,Step: A 'Fit-to-Fly' letter confirms that the pet is healthy enough to withstand the stress of air travel|Step: It is often required by airlines within 10 days of the flight and is mandatory for brachycephalic (flat-faced) breeds on many carriers due to respiratory risks,Health Certificate|Rabies Certificate,Verify all documents with local customs 10 days before departure.
moving,usa,with,Moving to the USA with Pets: Full Relocation Guide,Professional 2026 guide for moving your with from moving to usa.,High-Risk,6 Months,None,6 Months,ISO 11784/85,Required,Step: Relocating with a pet is a major task|Step: Key Pillars: 1|Step: Compliance (CDC rules)|Step: Logistics (choosing a pet-friendly airline)|Step: Comfort (crate training),Health Certificate|Rabies Certificate,Verify all documents with local customs 10 days before departure.
how,book,pet,How to Book a Flight for Your Pet (Step-by-Step),Professional 2026 guide for moving your pet from how to book.,Standard,30 Days,None,6 Months,ISO 11784/85,Required,Step: Booking a pet flight requires more than just buying a ticket|Step: Research pet-friendly airlines|Step: Call to confirm pet space before booking your seat|Step: Provide exact crate dimensions|Step: Request a 'Pet In Cabin' or 'AVIH' code,Health Certificate|Rabies Certificate,Verify all documents with local customs 10 days before departure.
